id,area,compactness,dennsity,adjacentRooms,y_label
lot_plan_020312_room1,3.107158957,13.75745894,0.000666529,1,3
lot_plan_020312_room2,8.030411847,16.51928128,0.000240215,2,2
lot_plan_020312_room3,53.33077136,34.62332915,0.000115756,4,0
lot_plan_020312_room4,15.12405956,20.95503851,7.91E-05,2,1
lot_plan_020312_room5,19.66518688,13.58837201,9.27E-05,3,1
lot_plan_020313_room1,14.50339373,15.69502623,8.04E-05,3,1
lot_plan_020313_room2,18.58441839,15.86797903,9.16E-05,3,1
lot_plan_020313_room3,5.227444985,19.10965709,0.000213277,5,4
lot_plan_020313_room4,7.578936436,25.5743417,0.000211263,3,2
lot_plan_020313_room5,3.158322906,13.7016229,0.00066836,2,3
lot_plan_020313_room6,50.22922748,21.15046062,6.35E-05,2,0
lot_plan_020314_room1,15.77810708,21.579751,7.64E-05,3,1
lot_plan_020314_room2,19.20681072,12.2667627,9.08E-05,3,1
lot_plan_020314_room3,5.988966543,21.47813832,0.000222675,5,4
lot_plan_020314_room4,3.129626469,12.45450698,0.000656996,2,3
lot_plan_020314_room5,8.318278881,14.43044173,0.00022965,2,2
lot_plan_020314_room6,46.72496278,22.99135441,6.36E-05,3,0
lot_plan_020315_room1,46.27239557,19.28134335,6.31E-05,3,0
lot_plan_020315_room2,2.809081005,12.97634679,0.000670103,3,3
lot_plan_020315_room3,7.569143516,26.21446677,0.000210914,3,2
lot_plan_020315_room4,5.654788613,20.06005357,0.000607132,5,4
lot_plan_020315_room5,15.47008683,15.97633939,7.50E-05,3,1
lot_plan_020315_room6,21.12770055,12.58840078,7.90E-05,3,1
lot_plan_020401_room1,16.2687586,17.55340715,7.18E-05,3,1
lot_plan_020401_room2,19.78331836,11.59094443,8.88E-05,3,1
lot_plan_020401_room3,5.256706469,16.86056101,0.000182932,5,4
lot_plan_020401_room4,7.86854925,20.89467034,0.000211327,3,2
lot_plan_020401_room5,3.013535548,11.37305349,0.000667941,2,3
lot_plan_020401_room6,46.82979151,24.13359105,7.85E-05,2,0
lot_plan_020402_room1,15.60052991,14.74093005,8.04E-05,3,1
lot_plan_020402_room2,20.05741575,15.31922234,9.09E-05,3,1
lot_plan_020402_room3,5.43258903,17.62898467,0.000176733,5,4
lot_plan_020402_room4,8.290046376,16.69491889,0.000251435,3,2
lot_plan_020402_room5,3.339412269,11.94525147,0.000679608,2,3
lot_plan_020402_room6,46.53820492,25.54076438,7.00E-05,2,0
lot_plan_020403_room2,13.55866175,26.70566113,0.000246563,3,2
lot_plan_020403_room3,59.39199508,37.23277014,9.10E-05,3,0
lot_plan_020403_room4,25.67801061,28.50626115,9.75E-05,2,1
lot_plan_020404_room2,14.10120584,25.51716773,0.000238832,3,2
lot_plan_020404_room3,27.36363901,20.31371018,9.82E-05,2,1
lot_plan_020404_room4,57.08675826,42.98083885,0.000104054,3,0
lot_plan_020411_room1,46.36716372,21.17200979,5.56E-05,3,0
lot_plan_020411_room2,2.301023275,10.27676621,0.000636236,3,3
lot_plan_020411_room3,8.55111855,18.7096287,0.000554979,6,4
lot_plan_020411_room4,6.134851021,12.30779776,0.000220505,3,2
lot_plan_020411_room5,11.01659863,13.21234082,8.05E-05,3,1
lot_plan_020411_room6,10.95420006,12.63629238,8.06E-05,3,1
lot_plan_020411_room7,13.91721723,10.66566184,8.90E-05,3,1
lot_plan_020412_room1,16.41497014,18.93207954,7.16E-05,3,1
lot_plan_020412_room2,19.87768747,12.4801645,8.86E-05,3,1
lot_plan_020412_room3,5.08505947,18.36014861,0.00020041,5,4
lot_plan_020412_room4,7.754693818,13.71543989,0.000230157,3,2
lot_plan_020412_room5,2.941107187,12.95212364,0.000664376,2,3
lot_plan_020412_room6,46.97324779,24.668752,7.46E-05,2,0
lot_plan_020413_room1,15.52620292,15.60385961,7.98E-05,3,1
lot_plan_020413_room2,19.9208741,15.7114003,9.06E-05,3,1
lot_plan_020413_room3,5.66327391,19.10042453,0.000217313,5,4
lot_plan_020413_room4,3.222364315,13.33341782,0.000657319,2,3
lot_plan_020413_room5,8.278485805,16.10796862,0.000253752,3,2
lot_plan_020413_room6,46.66442297,24.12052914,6.85E-05,2,0
lot_plan_020414_room1,14.28823084,23.5407822,0.000239846,2,2
lot_plan_020414_room2,59.44060334,41.41007582,9.20E-05,2,0
lot_plan_020414_room3,25.22744924,25.63683472,9.85E-05,2,1
lot_plan_020415_room2,14.1120538,23.66677607,0.000237986,3,2
lot_plan_020415_room3,28.2532015,19.16005669,9.70E-05,2,1
lot_plan_020415_room4,56.17284176,45.78197126,9.79E-05,3,0
oxyplan_010241_room1,28.66856826,24.9280885,0.000131961,2,1
oxyplan_010241_room2,14.06443105,26.20757781,0.000196772,3,2
oxyplan_010241_room4,54.59404645,29.77704724,0.000103309,3,0
